id,barangay_id,name,type,city,province,region,,,,,,
60,60,Barangay 66,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
61,61,Barangay 67,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
62,62,Barangay 68,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
63,63,Barangay 69,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
64,64,Barangay 70,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
65,65,Barangay 71,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
66,66,Barangay 72,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
67,67,Barangay 73,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
68,68,Barangay 74,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
69,69,Barangay 75,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
70,70,Barangay 76,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
71,71,Barangay 77,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
72,72,Barangay 78,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
73,73,Barangay 79,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
74,74,Barangay 80,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
75,75,Barangay 81,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
76,76,Barangay 82,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
77,77,Barangay 83,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
78,78,Barangay 84,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
79,79,Barangay 85,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
80,80,Barangay 86,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
81,81,Barangay 87,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
82,82,Barangay 88,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
83,83,Barangay 89,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
84,84,Barangay 90,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
85,85,Barangay 91,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
86,86,Barangay 92,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
87,87,Barangay 93,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
88,88,Barangay 94,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
89,89,Barangay 95,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
90,90,Barangay 96,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
91,91,Barangay 97,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
92,92,Barangay 98,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
93,93,Barangay 99,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
94,94,Barangay 100,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
95,95,Barangay 101,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
96,96,Barangay 102,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
97,97,Barangay 103,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
98,98,Barangay 104,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
99,99,Barangay 105,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
100,100,Barangay 106,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
101,101,Barangay 107,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
102,102,Barangay 108,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
103,103,Barangay 109,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
104,104,Barangay 110,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
105,105,Barangay 111,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
106,106,Barangay 112,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
107,107,Barangay 116,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
108,108,Barangay 117,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
109,109,Barangay 118,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
110,110,Barangay 119,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
111,111,Barangay 120,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
112,112,Barangay 121,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
113,113,Barangay 122,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
114,114,Barangay 123,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
115,115,Barangay 124,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
116,116,Barangay 125,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
117,117,Barangay 126,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
118,118,Barangay 127,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
119,119,Barangay 128,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
120,120,Barangay 129,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
121,121,Barangay 130,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
122,122,Barangay 131,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
123,123,Barangay 132,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
124,124,Barangay 133,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
125,125,Barangay 134,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
126,126,Barangay 135,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
127,127,Barangay 136,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
128,128,Barangay 137,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
129,129,Barangay 138,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
130,130,Barangay 139,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
131,131,Barangay 140,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
132,132,Barangay 141,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
133,133,Barangay 142,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
134,134,Barangay 143,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
135,135,Barangay 144,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
136,136,Barangay 145,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
137,137,Barangay 146,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
138,138,Barangay 147,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
139,139,Barangay 148,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
140,140,Barangay 149,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
141,141,Barangay 150,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
142,142,Barangay 151,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
143,143,Barangay 152,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
144,144,Barangay 153,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
145,145,Barangay 154,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
146,146,Barangay 155,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
147,147,Barangay 156,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
148,148,Barangay 157,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
149,149,Barangay 158,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
150,150,Barangay 159,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
151,151,Barangay 160,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
152,152,Barangay 161,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
153,153,Barangay 162,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
154,154,Barangay 163,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
155,155,Barangay 164,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
156,156,Barangay 165,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
157,157,Barangay 166,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
158,158,Barangay 167,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
159,159,Barangay 168,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
160,160,Barangay 169,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
161,161,Barangay 170,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
162,162,Barangay 171,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
163,163,Barangay 172,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
164,164,Barangay 173,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
165,165,Barangay 174,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
166,166,Barangay 175,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
167,167,Barangay 176,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
168,168,Barangay 177,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
169,169,Barangay 178,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
170,170,Barangay 179,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
171,171,Barangay 180,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
172,172,Barangay 181,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
173,173,Barangay 182,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
174,174,Barangay 183,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
175,175,Barangay 184,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
176,176,Barangay 185,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
177,177,Barangay 186,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
178,178,Barangay 187,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
179,179,Barangay 188,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
180,180,Barangay 189,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
181,181,Barangay 190,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
182,182,Barangay 191,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
183,183,Barangay 192,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
184,184,Barangay 193,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
185,185,Barangay 194,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
186,186,Barangay 195,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
187,187,Barangay 196,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
188,188,Barangay 197,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
189,189,Barangay 198,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
190,190,Barangay 199,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
191,191,Barangay 200,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
192,192,Barangay 201,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
193,193,Barangay 202,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
194,194,Barangay 202-A,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
195,195,Barangay 203,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
196,196,Barangay 204,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
197,197,Barangay 205,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
198,198,Barangay 206,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
199,199,Barangay 207,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
200,200,Barangay 208,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
201,201,Barangay 209,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
202,202,Barangay 210,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
203,203,Barangay 211,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
204,204,Barangay 212,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
205,205,Barangay 213,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
206,206,Barangay 214,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
207,207,Barangay 215,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
